iteration,local_LB,local_UB,repeat_served,miss_served
1,96,1916,5;,1;2;3;4;6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
2,110,1916,5;,1;2;3;4;6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
3,124,1910,,1;2;3;4;6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
4,133.5,1910,,1;2;3;4;6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
5,143,1538,,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
6,150.5,1538,,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
7,158,1538,,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
8,161.5,1377,3;6;7;,8;37;38;39;40;41;42;43;44;45;46;47;48;
9,168.5,1539,5;,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
10,177.5,1537,,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
11,181,1377,3;6;7;,8;37;38;39;40;41;42;43;44;45;46;47;48;
12,190,1537,,6;7;8;37;38;39;40;41;42;43;44;45;46;47;48;
13,199,1540,,1;3;8;37;38;39;40;41;42;43;44;45;46;47;48;
14,213.5,1374,2;3;4;,8;37;38;39;40;41;42;43;44;45;46;47;48;
15,241.5,1547,,1;2;3;37;38;39;40;41;42;43;44;45;46;47;48;
16,265,961,1;6;7;,37;38;39;40;41;42;44;46;
17,280,814,43;,6;7;37;38;40;42;
18,297.5,638,,1;8;38;44;
19,293.5,589,6;7;8;,2;38;39;
20,293.5,387,,38;
21,284.5,396,,39;
22,269.5,752,38;39;40;,5;6;7;8;
23,273,477,5;,38;43;
24,279,668,38;42;43;,3;4;5;
25,247,659,4;5;8;48;,38;40;42;46;
26,263,694,1;2;3;46;,8;43;47;48;
27,277,545,8;44;,1;2;
28,279,439,47;,45;
29,297,654,38;40;45;,5;8;37;
30,259,689,2;5;8;37;,38;40;42;45;
31,239,735,40;41;42;45;,6;8;37;44;
32,259,603,6;37;,39;40;41;
33,262,436,44;,42;
34,244,760,8;39;41;42;,2;4;44;47;
35,256,348,,
36,256,1965,38;39;40;44;47;,1;2;3;4;5;6;7;8;37;41;42;43;45;46;48;
37,278,1041,1;2;4;6;7;,8;37;39;41;43;45;46;48;
38,294,958,1;2;4;43;44;46;47;,8;38;39;40;41;42;48;
39,278,824,43;45;47;48;,3;5;8;38;41;
40,298,496,4;37;,39;44;
41,298,574,1;2;3;,8;37;39;
42,290,762,8;38;42;46;,1;2;3;44;
43,290,475,4;6;,38;42;
44,298,657,38;39;42;,6;7;8;
45,254,873,38;39;40;42;44;,3;4;5;41;46;
46,276,572,3;5;8;,38;41;45;
47,292,580,6;7;45;,39;40;44;
48,236,737,2;39;40;44;,6;7;8;37;
49,266,629,7;8;37;,1;2;39;
50,298,492,1;2;,37;40;
51,288,778,37;39;41;44;,1;2;5;7;
52,254,690,1;2;7;46;,8;39;41;44;
53,286,554,39;41;,1;2;
54,254,593,1;2;5;,7;39;41;
55,286,539,7;8;,1;2;
56,284,548,1;44;,5;46;
57,282,442,41;,44;
58,286,547,44;46;,1;8;
59,240,599,1;2;5;,7;37;46;
60,230,631,7;8;37;,5;42;44;
61,284,589,44;,40;41;45;
62,198,653,40;42;45;,1;2;8;
63,244,515,1;2;,43;44;
64,240,560,8;46;,1;2;
65,236,361,,
66,236,1386,38;39;40;41;43;,6;7;8;37;42;44;45;46;47;48;
67,256,1105,1;2;4;5;38;39;40;43;,7;8;37;42;45;46;47;48;
68,264,965,1;2;4;5;43;47;48;,7;8;38;40;42;45;46;
69,262,758,1;2;5;47;48;,8;38;40;42;46;
70,246,841,39;43;44;45;,3;4;8;42;46;
71,308,481,3;4;,44;46;
72,312,745,5;41;44;48;,3;4;45;46;
73,308,484,3;4;,39;44;
74,296,640,39;43;44;,3;4;41;
75,325,794,1;2;4;39;41;,37;43;45;47;48;
76,274,632,43;45;46;,2;4;39;
77,268,597,3;4;47;,41;42;46;
78,292,866,38;40;41;42;46;,6;39;45;47;48;
79,286,634,6;41;48;,3;4;40;
80,296,798,3;4;39;40;42;,38;41;43;46;48;
81,294,668,38;43;45;,3;4;42;
82,284,529,46;48;,39;45;
83,278,591,3;4;39;,38;46;48;
84,286,764,38;42;45;46;,3;4;39;40;
85,260,711,3;4;39;44;,7;42;45;46;
86,274,761,7;40;42;46;,3;4;43;44;
87,296,434,43;,46;
88,296,338,,
89,296,1393,1;2;3;4;5;6;8;37;,7;38;39;40;41;42;43;44;45;46;47;48;
90,310,960,43;44;45;46;48;,1;2;3;5;42;47;
91,294,949,1;2;3;4;45;47;48;,7;8;38;39;40;41;42;
92,306,923,43;44;45;47;48;,1;2;5;38;40;42;
93,294,694,3;4;41;46;,37;43;45;48;
94,308,909,8;37;43;45;48;,4;38;39;40;41;42;
95,290,579,1;2;3;,8;37;43;
96,312,622,4;7;8;,1;2;43;
97,296,889,37;38;43;44;,3;4;6;7;46;
98,296,793,4;6;7;39;46;,37;43;44;47;48;
99,270,732,37;43;47;48;,4;39;44;46;
100,254,544,44;46;,7;37;
计算总用时7168.878737211227秒,,,,
