Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,TASK-36,TASK-37,TASK-38,TASK-39,TASK-40,TASK-41,TASK-42,TASK-43,TASK-44,TASK-45,TASK-46,TASK-47,
iteration-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,
iteration-2,-5.5,-5.5,-5.5,-5.5,-3.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,
iteration-3,-6.0,-6.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,
iteration-4,-6.5,-6.5,-6.5,-6.5,-2.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,
iteration-5,-7.0,-7.0,-7.0,-7.0,-2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,
iteration-6,-7.0,-7.0,-7.0,-7.0,-2.0,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,
iteration-7,-7.0,-7.0,-7.0,-7.0,-2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,
iteration-8,-7.0,-7.0,-7.0,-7.0,-2.0,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,
iteration-9,-7.0,-7.0,-6.5,-7.0,-2.0,-8.0,-8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
iteration-10,-7.0,-7.0,-6.5,-7.0,-1.5,-8.5,-8.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,
iteration-11,-7.0,-7.0,-6.5,-7.0,-1.5,-9.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,
iteration-12,-7.0,-7.0,-6.0,-7.0,-1.5,-8.5,-8.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,
iteration-13,-7.0,-7.0,-6.0,-7.0,-1.5,-9.5,-9.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,
iteration-14,-8.5,-7.0,-7.5,-7.0,-1.5,-9.5,-9.5,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,
iteration-15,-8.5,-5.0,-5.5,-5.0,-1.5,-9.5,-9.5,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,
iteration-16,-11.0,-7.5,-8.0,-5.0,-1.5,-9.5,-9.5,-15.0,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,
iteration-17,-8.0,-7.5,-8.0,-5.0,-1.5,-6.5,-6.5,-15.0,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-17.5,-20.5,-17.5,-20.5,-17.5,-17.5,
iteration-18,-8.0,-7.5,-8.0,-5.0,-1.5,-10.0,-10.0,-15.0,-24.0,-24.0,-20.5,-24.0,-20.5,-24.0,-14.0,-20.5,-17.5,-20.5,-17.5,-17.5,
iteration-19,-12.0,-7.5,-8.0,-5.0,-1.5,-10.0,-10.0,-19.0,-24.0,-28.0,-20.5,-24.0,-20.5,-24.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-20,-12.0,-12.0,-8.0,-5.0,-1.5,-5.5,-5.5,-14.5,-24.0,-32.5,-25.0,-24.0,-20.5,-24.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-21,-12.0,-12.0,-8.0,-5.0,-1.5,-5.5,-5.5,-14.5,-24.0,-37.5,-25.0,-24.0,-20.5,-24.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-22,-12.0,-12.0,-8.0,-5.0,-1.5,-5.5,-5.5,-14.5,-24.0,-37.5,-30.0,-24.0,-20.5,-24.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-23,-12.0,-12.0,-8.0,-5.0,-7.0,-11.0,-11.0,-20.0,-24.0,-32.0,-24.5,-18.5,-20.5,-24.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-24,-12.0,-12.0,-8.0,-5.0,-1.0,-11.0,-11.0,-20.0,-24.0,-38.0,-24.5,-18.5,-20.5,-24.0,-20.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-25,-12.0,-12.0,-14.0,-11.0,-7.0,-11.0,-11.0,-20.0,-24.0,-32.0,-24.5,-18.5,-20.5,-18.0,-14.0,-24.5,-17.5,-20.5,-17.5,-17.5,
iteration-26,-12.0,-12.0,-14.0,-4.5,-0.5,-11.0,-11.0,-13.5,-24.0,-38.5,-24.5,-25.0,-20.5,-24.5,-14.0,-24.5,-17.5,-27.0,-17.5,-11.0,
iteration-27,-5.0,-5.0,-7.0,-4.5,-0.5,-11.0,-11.0,-20.5,-24.0,-38.5,-24.5,-25.0,-20.5,-24.5,-21.0,-24.5,-17.5,-20.0,-24.5,-18.0,
iteration-28,-12.5,-12.5,-7.0,-4.5,-0.5,-11.0,-11.0,-13.0,-24.0,-38.5,-24.5,-25.0,-20.5,-24.5,-21.0,-17.0,-17.5,-20.0,-24.5,-18.0,
iteration-29,-12.5,-12.5,-7.0,-4.5,-0.5,-11.0,-11.0,-13.0,-24.0,-38.5,-24.5,-25.0,-20.5,-24.5,-21.0,-17.0,-25.0,-20.0,-17.0,-18.0,
iteration-30,-12.5,-12.5,-7.0,-4.5,-8.0,-11.0,-11.0,-20.5,-31.5,-31.0,-24.5,-17.5,-20.5,-24.5,-21.0,-17.0,-17.5,-20.0,-17.0,-18.0,
iteration-31,-12.5,-4.5,-7.0,-4.5,0.0,-11.0,-11.0,-12.5,-23.5,-39.0,-24.5,-25.5,-20.5,-32.5,-21.0,-17.0,-25.5,-20.0,-17.0,-18.0,
iteration-32,-12.5,-4.5,-7.0,-4.5,0.0,-19.5,-11.0,-21.0,-32.0,-39.0,-24.5,-17.0,-12.0,-24.0,-21.0,-25.5,-17.0,-20.0,-17.0,-18.0,
iteration-33,-12.5,-4.5,-7.0,-4.5,0.0,-10.5,-11.0,-21.0,-23.0,-39.0,-33.5,-26.0,-21.0,-24.0,-21.0,-25.5,-17.0,-20.0,-17.0,-18.0,
iteration-34,-12.5,-4.5,-7.0,-4.5,0.0,-10.5,-11.0,-21.0,-23.0,-39.0,-33.5,-26.0,-21.0,-33.5,-21.0,-16.0,-17.0,-20.0,-17.0,-18.0,
iteration-35,-12.5,-14.0,-7.0,-14.0,0.0,-10.5,-11.0,-11.5,-23.0,-39.0,-24.0,-26.0,-11.5,-24.0,-21.0,-25.5,-17.0,-20.0,-26.5,-18.0,
iteration-36,-12.5,-14.0,-7.0,-14.0,0.0,-10.5,-11.0,-11.5,-23.0,-39.0,-24.0,-26.0,-11.5,-24.0,-21.0,-25.5,-17.0,-20.0,-26.5,-18.0,
iteration-37,-13.0,-14.5,-7.5,-14.5,-0.5,-11.0,-11.5,-12.0,-23.5,-37.5,-22.5,-24.5,-12.0,-24.5,-21.5,-24.0,-17.5,-20.5,-25.0,-18.5,
iteration-38,-11.0,-12.5,-7.5,-12.5,-0.5,-10.0,-10.5,-13.0,-24.5,-37.5,-23.5,-24.5,-13.0,-24.5,-22.5,-24.0,-18.5,-21.5,-25.0,-19.5,
iteration-39,-9.5,-11.0,-7.5,-11.0,-0.5,-10.0,-10.5,-14.5,-24.5,-39.0,-25.0,-26.0,-14.5,-26.0,-21.0,-22.5,-18.5,-20.0,-23.5,-21.0,
iteration-40,-9.5,-11.0,-9.5,-11.0,-2.5,-10.0,-10.5,-16.5,-24.5,-41.0,-25.0,-26.0,-16.5,-26.0,-19.0,-22.5,-16.5,-20.0,-19.5,-19.0,
iteration-41,-9.5,-11.0,-9.5,-8.5,-2.5,-10.0,-10.5,-16.5,-22.0,-41.0,-27.5,-26.0,-16.5,-26.0,-19.0,-25.0,-16.5,-20.0,-19.5,-19.0,
iteration-42,-7.0,-8.5,-7.0,-8.5,-2.5,-10.0,-10.5,-19.0,-24.5,-41.0,-30.0,-26.0,-16.5,-26.0,-19.0,-25.0,-16.5,-20.0,-19.5,-19.0,
iteration-43,-10.0,-11.5,-10.0,-8.5,-2.5,-10.0,-10.5,-16.0,-24.5,-38.0,-30.0,-26.0,-16.5,-23.0,-19.0,-28.0,-16.5,-17.0,-19.5,-19.0,
iteration-44,-10.0,-11.5,-10.0,-5.0,-2.5,-6.5,-10.5,-16.0,-24.5,-41.5,-30.0,-26.0,-16.5,-26.5,-19.0,-28.0,-16.5,-17.0,-19.5,-19.0,
