iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,2,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,3,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,4,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,5,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,6,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,7,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,1,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,2,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,3,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,6,975_5_975_975_,0_1_2_200_,100_100_100_100_
2,7,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,1,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,2,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,3,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,6,975_5_975_975_,0_1_2_200_,100_100_100_100_
3,7,975_5_551_5_975_975_,0_1_2_3_4_200_,100_100_80_80_80_80_
3,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,1,975_5_551_563_17_563_564_18_564_565_19_565_568_22_568_565_564_563_551_5_975_975_,0_1_2_5_6_7_9_10_11_13_14_15_17_18_19_21_23_25_28_29_30_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_0_0_
4,2,975_5_939_551_550_4_550_553_7_553_560_14_560_561_15_561_494_563_17_563_551_5_975_975_,0_1_1_2_6_7_8_11_12_13_16_17_18_22_23_24_25_28_29_30_33_34_35_200_,100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_20_0_0_0_0_0_
4,3,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,6,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,7,975_5_975_975_,0_1_2_200_,100_100_100_100_
4,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,1,975_5_551_549_3_549_547_1_547_548_2_548_550_4_550_551_5_975_975_,0_1_2_7_8_9_13_14_15_17_18_19_23_24_25_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
5,2,975_5_551_563_564_18_564_565_19_565_568_22_568_565_564_563_17_563_551_5_975_975_,0_1_2_5_7_8_9_11_12_13_15_16_17_19_21_23_24_25_28_29_30_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_20_20_0_0_0_0_0_
5,3,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,6,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,7,975_5_975_975_,0_1_2_200_,100_100_100_100_
5,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,1,975_5_551_495_560_14_560_553_7_553_550_4_550_549_3_549_551_5_975_975_,0_1_2_7_8_9_10_13_14_15_18_19_20_22_23_24_29_30_31_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
6,2,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,3,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,6,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,7,975_5_975_975_,0_1_2_200_,100_100_100_100_
6,8,975_5_975_975_,0_1_2_200_,100_100_100_100_
7,1,975_5_551_563_564_18_564_565_19_565_568_22_568_565_564_563_17_563_551_5_975_975_,0_1_2_5_7_8_9_11_12_13_15_16_17_19_21_23_24_25_28_29_30_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_20_20_0_0_0_0_0_
7,2,975_5_939_551_495_560_14_560_553_7_553_552_6_552_548_2_548_550_4_550_551_5_975_975_,0_1_1_2_7_8_9_10_13_14_15_18_19_20_24_25_26_30_31_32_36_37_38_200_,100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
7,3,975_5_939_551_563_564_18_564_565_19_565_569_23_569_499_567_21_567_562_16_562_563_551_5_975_975_,0_1_1_2_5_7_8_9_11_12_13_18_19_20_22_24_25_26_28_29_30_34_37_38_39_200_,100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_40_20_20_20_0_0_0_0_0_0_
7,4,975_5_975_975_,0_1_2_200_,100_100_100_100_
7,5,975_5_975_975_,0_1_2_200_,100_100_100_100_
