Iteration,TASK-0,TASK-7,TASK-16,TASK-27,TASK-59,
iteration-1,0,0,0,0,0,
iteration-2,0.5,0.5,0.5,0.5,0.5,
iteration-3,1.0,1.0,1.0,1.0,1.0,
iteration-4,1.5,1.5,1.5,1.5,1.5,
iteration-5,2.0,2.0,2.0,2.0,2.0,
iteration-6,2.5,2.5,2.5,2.5,2.5,
iteration-7,3.0,3.0,3.0,3.0,3.0,
iteration-8,3.5,3.5,3.5,3.5,3.5,
iteration-9,4.0,4.0,4.0,4.0,4.0,
iteration-10,4.5,4.5,4.5,4.5,4.5,
iteration-11,5.0,5.0,5.0,5.0,5.0,
iteration-12,5.5,5.5,5.5,5.5,5.5,
iteration-13,6.0,6.0,6.0,6.0,6.0,
iteration-14,6.5,6.5,6.5,6.5,6.5,
iteration-15,7.0,7.0,7.0,7.0,7.0,
iteration-16,7.5,7.5,7.5,7.5,7.5,
iteration-17,8.0,8.0,8.0,8.0,8.0,
iteration-18,8.5,8.5,8.5,8.5,8.5,
iteration-19,9.0,9.0,9.0,9.0,9.0,
iteration-20,9.5,9.5,9.5,9.5,9.5,
iteration-21,10.0,10.0,10.0,10.0,10.0,
iteration-22,10.5,10.5,10.5,10.5,10.5,
iteration-23,11.5,11.5,11.5,11.5,11.5,
iteration-24,11.5,11.5,11.5,13.0,13.0,
iteration-25,13.0,11.5,11.5,13.0,13.0,
iteration-26,13.0,11.5,10.0,13.0,13.0,
iteration-27,13.0,11.5,10.0,13.0,13.0,
iteration-28,13.5,12.0,10.0,13.0,13.0,
iteration-29,13.5,12.0,9.0,13.0,13.0,
iteration-30,13.5,12.0,9.0,13.0,13.0,
iteration-31,13.5,12.0,9.5,13.5,13.5,
iteration-32,13.5,12.0,9.5,13.5,13.5,
iteration-33,13.5,12.0,9.5,13.5,13.5,
iteration-34,13.5,12.0,9.5,13.5,13.5,
iteration-35,13.5,12.0,9.5,13.5,13.5,
iteration-36,13.5,12.0,9.5,13.5,13.5,
iteration-37,13.5,12.0,9.5,13.5,13.5,
iteration-38,13.5,12.0,9.5,13.5,13.5,
iteration-39,13.5,12.0,9.5,13.5,13.5,
iteration-40,13.5,12.0,9.5,13.5,13.5,
