Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,TASK-8,TASK-9,TASK-10,TASK-11,TASK-12,TASK-13,TASK-14,TASK-15,TASK-16,TASK-17,TASK-18,TASK-19,TASK-20,TASK-21,TASK-22,TASK-23,TASK-24,TASK-25,TASK-26,TASK-27,TASK-28,TASK-29,
iteration-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iteration-2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,
iteration-3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
iteration-4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,
iteration-5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,
iteration-6,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,
iteration-7,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,
iteration-8,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-2.0,-3.5,-2.0,-3.0,-3.5,-3.5,-3.0,-3.0,-3.5,-3.5,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,
iteration-9,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-2.0,-4.0,-2.0,-3.0,-4.0,-4.0,-3.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,
iteration-10,-4.5,-4.5,-4.5,-4.5,-4.5,-4.0,-4.5,-4.0,-2.0,-4.5,-2.0,-3.0,-4.0,-4.5,-3.0,-3.0,-4.5,-4.5,-3.0,-4.5,-4.5,-4.5,-4.0,-4.5,-4.0,-4.0,-4.5,-4.5,-4.5,-4.5,
iteration-11,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-5.0,-4.0,-2.0,-5.0,-2.0,-3.5,-4.0,-5.0,-3.0,-3.0,-4.5,-5.0,-3.0,-4.5,-5.0,-5.0,-4.0,-5.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,
iteration-12,-5.5,-5.0,-5.5,-5.5,-5.0,-4.0,-5.5,-4.0,-2.0,-5.5,-2.5,-3.5,-4.0,-5.5,-3.0,-3.5,-4.5,-5.5,-3.0,-4.5,-5.5,-5.5,-4.0,-5.5,-4.0,-4.0,-5.5,-5.5,-5.5,-5.5,
iteration-13,-6.0,-5.0,-6.0,-6.0,-5.0,-4.0,-6.0,-4.0,-2.0,-6.0,-2.0,-3.0,-4.0,-6.0,-2.5,-3.0,-4.5,-6.0,-3.0,-4.5,-6.0,-6.0,-4.0,-6.0,-4.0,-4.0,-6.0,-6.0,-6.0,-6.0,
iteration-14,-6.5,-5.0,-6.5,-6.5,-5.0,-4.0,-6.5,-4.0,-2.0,-6.5,-2.5,-3.0,-4.0,-6.5,-3.0,-3.0,-4.5,-6.5,-3.0,-4.5,-6.5,-6.5,-4.0,-6.5,-4.0,-4.0,-6.5,-6.5,-6.5,-6.5,
iteration-15,-7.0,-5.0,-7.0,-6.5,-5.0,-4.0,-7.0,-4.0,-2.0,-7.0,-2.0,-3.0,-4.0,-6.5,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-7.0,-7.0,-4.0,-7.0,-4.0,-4.0,-7.0,-7.0,-7.0,-7.0,
iteration-16,-7.0,-5.0,-7.0,-6.5,-5.0,-4.0,-7.5,-4.0,-2.0,-7.5,-2.5,-3.0,-4.0,-6.5,-3.0,-3.0,-4.5,-7.0,-3.0,-4.5,-7.5,-7.5,-4.0,-7.5,-4.0,-4.0,-7.5,-7.5,-7.5,-7.5,
iteration-17,-7.5,-5.0,-7.5,-6.5,-5.0,-4.0,-8.0,-4.0,-2.0,-8.0,-2.0,-3.0,-4.0,-6.5,-3.0,-3.0,-4.5,-7.0,-3.0,-4.5,-8.0,-8.0,-4.0,-8.0,-4.0,-4.0,-8.0,-8.0,-8.0,-8.0,
iteration-18,-7.0,-5.0,-7.0,-6.0,-5.0,-3.5,-8.0,-3.5,-2.0,-8.5,-2.0,-3.0,-4.0,-6.0,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-8.5,-8.5,-4.0,-8.5,-4.0,-4.0,-8.5,-8.5,-8.0,-8.5,
iteration-19,-7.0,-5.0,-7.0,-6.0,-5.0,-3.5,-8.5,-3.5,-2.0,-9.0,-2.0,-3.0,-4.0,-6.0,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-9.0,-9.0,-4.0,-9.0,-4.0,-4.0,-9.0,-9.0,-8.0,-9.0,
iteration-20,-7.0,-5.0,-7.0,-6.0,-5.0,-3.5,-9.0,-3.5,-2.0,-9.5,-2.0,-3.0,-4.0,-6.0,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-9.5,-9.5,-4.0,-9.5,-4.0,-4.0,-9.5,-9.5,-8.0,-9.5,
iteration-21,-7.0,-5.0,-7.0,-6.0,-5.0,-3.5,-9.5,-3.5,-2.0,-10.0,-2.0,-3.0,-4.0,-6.0,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-10.0,-10.0,-4.0,-10.0,-4.0,-4.0,-10.0,-10.0,-8.0,-10.0,
iteration-22,-7.5,-5.5,-7.5,-6.5,-5.5,-3.5,-9.5,-3.5,-2.0,-10.5,-2.0,-3.0,-4.0,-6.5,-3.0,-2.5,-4.5,-7.0,-3.0,-4.5,-10.5,-10.0,-3.5,-10.5,-4.0,-3.5,-10.5,-10.5,-8.0,-10.5,
iteration-23,-7.5,-5.5,-6.5,-6.5,-6.5,-2.5,-9.5,-3.5,-2.0,-11.5,-2.0,-3.0,-4.0,-5.5,-3.0,-2.5,-4.5,-7.0,-3.0,-4.5,-11.5,-11.0,-3.5,-11.5,-4.0,-3.5,-10.5,-11.5,-9.0,-11.5,
iteration-24,-7.5,-5.5,-6.5,-6.5,-6.5,-2.5,-11.0,-3.5,-2.0,-11.5,-2.0,-3.0,-4.0,-5.5,-3.0,-2.5,-4.5,-7.0,-3.0,-4.5,-13.0,-11.0,-3.5,-11.5,-5.5,-3.5,-10.5,-13.0,-9.0,-13.0,
iteration-25,-7.5,-7.0,-8.0,-6.5,-6.5,-2.5,-11.0,-2.0,-2.0,-11.5,-2.0,-1.5,-4.0,-7.0,-3.0,-2.5,-4.5,-7.0,-3.0,-4.5,-11.5,-11.0,-3.5,-11.5,-4.0,-3.5,-9.0,-14.5,-9.0,-14.5,
iteration-26,-7.5,-7.0,-8.0,-6.5,-6.5,-2.5,-11.0,-4.0,-2.0,-11.5,-4.0,-1.5,-2.0,-7.0,-1.0,-2.5,-4.5,-7.0,-3.0,-4.5,-11.5,-11.0,-3.5,-9.5,-4.0,-3.5,-9.0,-14.5,-9.0,-16.5,
iteration-27,-7.5,-7.0,-8.0,-6.5,-6.5,-2.5,-11.0,-4.0,-2.0,-9.0,-1.5,-4.0,-2.0,-7.0,-3.5,-2.5,-4.5,-7.0,-3.0,-4.5,-11.5,-11.0,-3.5,-9.5,-4.0,-3.5,-9.0,-14.5,-9.0,-16.5,
iteration-28,-7.5,-7.0,-8.0,-6.5,-6.5,-2.5,-11.0,-4.0,-2.0,-9.0,-1.5,-4.0,-2.0,-7.0,-3.5,-2.5,-4.5,-7.0,-3.0,-4.5,-11.5,-11.0,-3.5,-9.5,-4.0,-3.5,-9.0,-14.5,-9.0,-16.5,
iteration-29,-7.0,-6.5,-7.5,-6.0,-6.0,-2.5,-11.0,-3.5,-2.5,-9.5,-2.0,-3.0,-2.5,-6.5,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-12.0,-11.0,-3.5,-10.0,-4.5,-3.5,-9.5,-14.5,-9.5,-17.0,
iteration-30,-8.0,-5.5,-7.5,-7.0,-6.0,-2.5,-10.0,-3.5,-2.5,-9.5,-2.0,-3.0,-2.5,-6.5,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-12.0,-11.0,-2.5,-11.0,-4.5,-3.5,-9.5,-14.5,-10.5,-16.0,
iteration-31,-7.0,-6.5,-7.5,-6.0,-6.0,-3.5,-11.0,-3.5,-2.5,-9.5,-2.0,-2.0,-2.5,-6.5,-2.5,-3.0,-4.5,-7.0,-3.0,-4.5,-12.0,-11.0,-1.5,-12.0,-4.5,-3.5,-9.5,-14.5,-10.5,-16.0,
