iteration,local_LB,local_UB,repeat_served,miss_served
1,4,84,,1;2;3;4;
2,8,84,,1;2;3;4;
3,12,84,,1;2;3;4;
4,16,84,,1;2;3;4;
5,18,51,,1;2;
6,20,51,,1;2;
7,22,22,,
8,22,22,,
9,22,22,,
10,22,22,,
11,22,22,,
12,22,22,,
13,22,22,,
14,22,22,,
15,22,22,,
16,22,22,,
17,22,22,,
18,22.0,22,,
19,22.0,22,,
20,22.0,22,,
21,22.0,22,,
22,22.0,22,,
23,22.0,22,,
24,22.0,22,,
25,22.0,22,,
26,22.0,22,,
27,22.0,22,,
28,22.0,22,,
29,22.0,22,,
30,22.0,22,,
31,22.0,22,,
32,22.0,22,,
33,22.0,22,,
34,22.0,22,,
35,22.0,22,,
36,22.0,22,,
37,22.0,22,,
38,22.0,22,,
39,22.0,22,,
40,22.0,22,,
计算总用时3.6833014488220215秒
