iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,11_5_11_11_,0_1_2_30_,50_50_50_50_
1,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
2,1,11_5_11_11_,0_1_2_30_,50_50_50_50_
2,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
3,1,11_5_11_11_,0_1_2_30_,50_50_50_50_
3,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
4,1,11_5_11_11_,0_1_2_30_,50_50_50_50_
4,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
5,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
5,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
6,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
6,2,11_5_11_11_,0_1_2_30_,50_50_50_50_
7,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
7,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
8,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
8,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
9,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
9,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
10,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
10,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
11,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
11,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
12,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
12,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
13,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
13,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
14,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
14,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
15,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
15,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
16,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
16,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
17,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
17,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
18,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
18,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
19,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
19,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
20,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
20,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
21,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
21,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
22,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
22,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
23,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
23,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
24,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
24,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
25,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
25,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
26,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
26,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
27,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
27,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
28,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
28,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
29,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
29,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
30,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
30,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
31,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
31,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
32,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
32,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
33,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
33,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
34,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
34,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
35,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
35,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
36,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
36,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
37,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
37,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
38,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
38,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
39,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
39,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
40,1,11_5_6_4_2_1_5_11_11_,0_1_2_3_5_7_8_9_30_,50_50_50_50_50_30_0_0_0_
40,2,11_5_6_3_1_3_1_2_5_11_11_,0_1_2_3_5_7_9_11_12_13_30_,50_50_50_50_50_30_30_0_0_0_0_
