Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,
iteration-1,-5,-5,-5,-5,-5,-5,-5,-5,
iteration-2,-5.5,-5.5,-5.5,-5.5,-4.5,-5.5,-5.5,-5.5,
iteration-3,-6.0,-6.0,-6.0,-6.0,-4.0,-6.0,-6.0,-6.0,
iteration-4,-6.5,-6.5,-6.5,-6.5,-3.5,-6.5,-6.5,-6.5,
iteration-5,-7.0,-7.0,-7.0,-7.0,-3.0,-7.0,-7.0,-7.0,
iteration-6,-7.0,-7.0,-7.0,-7.0,-2.5,-7.5,-7.5,-7.5,
iteration-7,-7.0,-7.0,-7.0,-7.0,-2.0,-8.0,-8.0,-8.0,
iteration-8,-7.5,-7.0,-7.0,-7.0,-2.0,-8.0,-8.0,-8.5,
iteration-9,-7.5,-7.0,-7.0,-7.0,-2.0,-8.5,-8.5,-9.0,
iteration-10,-7.5,-7.0,-6.5,-6.5,-1.5,-8.5,-8.5,-9.5,
iteration-11,-8.0,-7.0,-6.5,-6.5,-2.0,-8.5,-8.5,-10.0,
iteration-12,-8.5,-7.0,-6.5,-6.5,-2.0,-8.5,-8.5,-10.5,
iteration-13,-9.5,-7.0,-6.5,-6.5,-2.0,-8.5,-8.5,-11.5,
iteration-14,-9.5,-7.0,-6.5,-6.5,-0.5,-10.0,-10.0,-13.0,
iteration-15,-7.5,-7.0,-6.5,-4.5,-2.5,-8.0,-8.0,-15.0,
iteration-16,-10.0,-7.0,-6.5,-4.5,-2.5,-8.0,-8.0,-17.5,
iteration-17,-10.0,-9.5,-9.0,-7.0,-2.5,-8.0,-8.0,-17.5,
iteration-18,-10.0,-9.5,-6.0,-4.0,-2.5,-8.0,-8.0,-17.5,
iteration-19,-10.0,-6.0,-6.0,-4.0,1.0,-8.0,-8.0,-17.5,
iteration-20,-10.0,-10.0,-6.0,-8.0,-3.0,-8.0,-8.0,-17.5,
iteration-21,-10.0,-10.0,-6.0,-3.5,-3.0,-8.0,-8.0,-17.5,
iteration-22,-10.0,-5.5,-6.0,-3.5,1.5,-8.0,-8.0,-17.5,
iteration-23,-10.0,-10.5,-6.0,-8.5,-3.5,-8.0,-8.0,-17.5,
iteration-24,-10.0,-10.5,-6.0,-3.0,-3.5,-8.0,-8.0,-17.5,
iteration-25,-10.0,-5.0,-6.0,-3.0,2.0,-8.0,-8.0,-17.5,
iteration-26,-10.0,-5.0,-6.0,-3.0,2.0,-8.0,-8.0,-17.5,
iteration-27,-9.5,-5.5,-5.5,-3.5,1.5,-7.5,-7.5,-17.0,
iteration-28,-10.5,-6.5,-6.5,-4.5,0.5,-8.5,-8.5,-18.0,
iteration-29,-10.5,-6.5,-6.5,-4.5,-1.0,-7.0,-7.0,-16.5,
iteration-30,-10.5,-6.5,-8.0,-6.0,-1.0,-7.0,-8.5,-16.5,
iteration-31,-12.5,-8.5,-8.0,-6.0,-3.0,-7.0,-8.5,-16.5,
iteration-32,-10.0,-8.5,-8.0,-6.0,-0.5,-7.0,-8.5,-16.5,
iteration-33,-10.0,-8.5,-8.0,-3.0,-0.5,-7.0,-8.5,-16.5,
iteration-34,-10.0,-8.5,-8.0,-6.0,-3.5,-7.0,-8.5,-19.5,
iteration-35,-10.0,-8.5,-8.0,-2.5,0.0,-7.0,-8.5,-19.5,
iteration-36,-6.0,-8.5,-4.0,-2.5,0.0,-7.0,-8.5,-19.5,
