iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,2,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,3,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,4,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,5,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,6,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,1,965_5_965_965_,0_1_2_200_,100_100_100_100_
2,2,965_5_965_965_,0_1_2_200_,100_100_100_100_
2,3,965_5_965_965_,0_1_2_200_,100_100_100_100_
2,4,965_5_965_965_,0_1_2_200_,100_100_100_100_
2,5,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,6,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
3,1,965_5_965_965_,0_1_2_200_,100_100_100_100_
3,2,965_5_965_965_,0_1_2_200_,100_100_100_100_
3,3,965_5_965_965_,0_1_2_200_,100_100_100_100_
3,4,965_5_965_965_,0_1_2_200_,100_100_100_100_
3,5,965_5_965_965_,0_1_2_200_,100_100_100_100_
3,6,965_5_551_5_965_965_,0_1_2_3_4_200_,100_100_80_80_80_80_
4,1,965_5_551_563_17_563_564_18_564_565_19_565_568_22_568_565_564_563_551_5_965_965_,0_1_2_5_6_7_9_10_11_13_14_15_17_18_19_21_23_25_28_29_30_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_0_0_
4,2,965_5_939_551_550_4_550_553_7_553_560_14_560_561_15_561_494_563_17_563_551_5_965_965_,0_1_1_2_6_7_8_11_12_13_16_17_18_22_23_24_25_28_29_30_33_34_35_200_,100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_20_0_0_0_0_0_
4,3,965_5_965_965_,0_1_2_200_,100_100_100_100_
4,4,965_5_965_965_,0_1_2_200_,100_100_100_100_
4,5,965_5_965_965_,0_1_2_200_,100_100_100_100_
4,6,965_5_965_965_,0_1_2_200_,100_100_100_100_
5,1,965_5_551_549_3_549_547_1_547_548_2_548_550_4_550_551_5_965_965_,0_1_2_7_8_9_13_14_15_17_18_19_23_24_25_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
