iteration,local_LB,local_UB,repeat_served,miss_served
1,240,4934,5;,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
2,291.5,4922,,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
3,316.0,4922,,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
4,340.5,4181,17;,1;2;3;6;8;9;10;11;12;13;16;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
5,355.5,4177,5;,6;7;8;9;10;11;12;13;14;15;16;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
6,380.5,4549,,1;2;6;8;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
7,393.0,3821,18;19;,1;3;8;9;10;11;12;13;15;20;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
8,410.5,3962,12;14;15;16;17;21;,1;2;5;6;7;8;9;10;11;13;20;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
9,425.5,3631,7;,1;8;9;10;11;13;18;20;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
10,447.5,3462,4;7;17;,2;8;9;14;15;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
11,462.5,3305,10;11;12;14;16;21;,6;8;9;19;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
12,475.0,3173,,6;7;8;9;23;25;26;27;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
13,485.0,2831,23;28;,1;8;9;25;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
14,516.0,2512,1;2;3;4;5;7;10;,23;25;26;28;30;33;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
15,536.0,2104,6;26;,1;2;4;5;10;11;32;37;38;39;40;41;42;43;44;45;46;
16,568.5,1877,,6;7;8;9;25;33;37;38;39;40;41;42;44;46;47;
17,598.5,1361,1;5;6;8;9;10;47;,23;25;37;38;39;40;41;42;
18,558.5,964,37;39;41;,8;14;38;
19,553.5,1062,14;40;42;46;,10;15;37;47;
20,553.5,1157,47;,6;14;38;40;42;46;
21,576.0,1021,6;8;10;14;,5;39;44;47;
22,561.0,968,11;39;44;,14;20;21;
23,541.0,1005,5;14;20;21;,16;39;44;48;
24,491.0,970,16;46;48;,5;14;20;
25,546.0,996,5;20;,11;41;46;48;
26,520.0,970,37;41;46;,5;16;38;
27,525.0,769,14;,21;
28,515.0,680,,
29,515.0,3868,5;11;13;15;16;17;21;23;39;41;43;44;48;,1;2;3;4;6;7;8;9;10;12;14;20;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;40;42;45;46;49;50;
30,555.0,2690,16;21;23;28;38;39;40;41;42;43;44;45;48;,1;3;4;5;6;7;8;9;10;14;17;20;26;30;31;32;33;37;46;
31,615.0,2040,5;11;12;15;16;24;25;26;29;33;34;35;36;,6;8;9;14;17;18;19;22;28;32;37;39;41;46;
32,610.0,1607,4;6;7;18;19;22;28;47;48;,20;24;25;26;27;33;34;35;36;37;
33,630.0,1733,5;20;24;25;27;31;32;33;35;36;,6;7;8;9;10;14;30;37;39;41;46;
34,555.0,1667,8;9;10;14;23;37;39;40;41;,5;15;17;20;29;31;35;36;49;50;
35,603.0,1338,5;17;29;34;39;50;,10;24;25;26;27;31;37;
36,586.5,1245,26;27;31;35;36;49;,23;39;40;43;48;50;
37,566.5,1149,26;31;43;48;50;,27;35;36;41;42;
38,596.5,1171,24;25;39;40;42;,29;31;34;37;49;
39,536.5,870,41;42;,5;39;
40,556.5,1230,29;30;33;35;36;37;,26;38;40;42;46;50;
41,556.5,1071,5;38;39;40;,33;36;43;45;
42,486.5,1068,26;31;46;50;,5;21;35;39;
43,516.5,759,45;,37;
44,516.5,874,34;37;,30;45;
45,516.5,878,30;32;,29;34;
46,516.5,666,,
47,516.5,3854,5;13;15;16;20;21;29;33;34;35;36;37;43;45;47;49;,1;2;3;4;6;7;8;9;10;12;14;18;19;22;23;24;25;26;27;28;30;31;32;38;39;40;41;42;44;46;48;50;
48,561.5,2023,5;21;23;29;33;34;35;36;43;45;49;,6;8;9;14;17;24;25;26;30;31;32;37;40;41;
49,586.5,2314,6;7;9;14;21;22;23;29;33;34;35;36;37;45;47;49;,3;5;13;20;24;25;26;27;28;30;31;32;38;40;42;46;48;
50,541.5,2430,5;18;20;21;25;27;38;39;40;42;43;44;46;,6;8;9;14;16;22;30;31;32;33;34;35;36;37;47;49;50;
51,611.5,1928,6;8;9;14;15;16;29;37;45;46;49;50;,1;5;7;18;20;24;25;26;32;38;40;42;43;
52,606.5,1237,1;2;5;7;42;,8;9;13;17;19;37;
53,571.5,1218,8;13;20;24;32;37;,27;41;42;43;45;46;
54,561.5,1169,17;25;27;41;43;,6;11;12;14;32;
55,606.5,1559,6;10;11;12;28;31;38;40;42;,5;20;23;24;25;33;36;37;47;
56,556.5,1247,19;20;22;23;47;48;,12;15;29;31;34;42;
57,501.5,1549,12;14;15;24;29;31;34;37;,19;22;27;28;30;39;47;48;49;
58,561.5,1197,9;27;30;43;47;,6;14;15;26;50;
59,581.5,885,26;50;,1;2;
60,541.5,1324,1;2;7;14;32;33;36;,12;26;31;37;38;43;50;
61,551.5,1166,27;28;37;49;50;,7;15;32;40;41;
62,546.5,1182,26;31;39;41;43;,14;33;36;49;50;
63,536.5,1203,15;33;36;38;40;,26;27;28;31;47;
64,536.5,862,26;47;,15;39;
65,536.5,981,45;49;50;,10;37;46;
66,501.5,1153,6;10;14;15;46;,43;45;47;49;50;
67,451.5,1149,25;28;47;49;50;,10;20;38;40;42;
68,446.5,1342,19;20;38;40;42;45;,1;6;14;24;25;26;
69,491.5,1065,12;14;26;,19;20;33;36;
70,531.5,888,20;,12;32;
71,517.0,792,24;,26;
72,467.0,789,37;,38;
73,467.0,1170,26;30;32;33;36;,37;40;41;42;45;
74,352.0,1229,37;41;42;45;46;,26;30;32;33;36;
75,312.0,922,38;40;,2;37;
76,312.0,1171,26;30;32;33;36;,14;38;40;44;46;
77,372.0,714,,
78,372.0,4157,1;2;6;10;14;38;41;42;44;46;,4;5;7;8;9;11;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;39;40;45;48;49;50;
79,507.0,3852,1;2;37;38;39;40;42;44;,8;9;10;11;12;13;15;16;17;20;24;25;26;27;28;29;30;31;32;33;34;35;36;43;45;47;48;49;50;
80,527.0,2196,1;2;4;5;6;7;10;11;12;14;19;21;23;,20;26;28;30;32;33;34;35;36;38;39;40;41;42;45;46;47;
81,592.0,1578,2;19;22;23;38;39;40;42;44;,15;16;21;30;33;36;41;45;46;
82,602.0,2168,31;32;33;34;35;37;43;44;46;48;,6;8;9;19;22;23;28;30;38;39;40;41;42;45;47;
83,597.0,1847,6;8;9;10;16;17;19;22;38;39;40;,4;26;29;30;31;34;43;45;46;48;49;50;
84,592.0,1828,4;12;14;21;29;31;37;43;45;47;48;,6;16;17;22;24;30;33;36;38;40;42;46;
85,567.0,1691,22;24;25;26;33;36;38;40;41;46;,8;9;10;11;21;31;32;37;44;48;
86,597.0,1180,6;8;32;40;42;,5;25;26;29;45;
87,552.0,1743,1;5;8;9;10;11;25;26;30;37;45;,12;14;16;23;24;38;40;41;42;46;47;
88,517.0,1352,16;21;23;29;31;41;47;,4;8;9;30;33;36;45;
89,557.0,949,4;30;46;,31;32;37;
90,567.0,984,32;38;42;,35;41;43;
91,557.0,873,13;17;,22;30;
92,557.0,786,22;,23;
93,532.0,1091,30;33;35;36;,13;17;21;28;
94,532.0,970,23;27;28;,33;35;36;
95,557.0,788,35;,23;
96,557.0,878,23;24;,19;22;
97,522.0,944,17;19;22;,24;26;27;
98,542.0,757,27;,29;
99,487.0,651,,
100,487.0,3851,20;21;24;25;26;29;33;34;35;36;39;41;44;45;46;,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23;27;28;30;31;32;38;40;42;48;50;
计算总用时16657.044384479523秒
