Iteration,TASK-4,TASK-5,TASK-6,TASK-7,TASK-8,TASK-9,TASK-10,
iteration-1,0,0,0,0,0,0,0,
iteration-2,-1,-1,-1,-1,-1,-1,-1,
iteration-3,-2,-2,-2,-2,-2,-2,-2,
iteration-4,-3,-3,-3,-3,-3,-3,-3,
iteration-5,-4,-3,-3,-4,-3,-4,-3,
iteration-6,-4,-3,-3,-5,-3,-5,-3,
iteration-7,-4,-3,-3,-5,-3,-5,-3,
iteration-8,-4,-3,-3,-5,-3,-5,-3,
iteration-9,-4,-3,-3,-5,-3,-5,-3,
iteration-10,-4,-3,-3,-5,-3,-5,-3,
iteration-11,-4,-3,-3,-5,-3,-5,-3,
iteration-12,-4,-3,-3,-5,-3,-5,-3,
iteration-13,-4,-3,-3,-5,-3,-5,-3,
iteration-14,-4,-3,-3,-5,-3,-5,-3,
iteration-15,-4,-3,-3,-5,-3,-5,-3,
iteration-16,-4,-3,-3,-5,-3,-5,-3,
iteration-17,-4,-3,-3,-5,-3,-5,-3,
iteration-18,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-19,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-20,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-21,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-22,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-23,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-24,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-25,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-26,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-27,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-28,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-29,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-30,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-31,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-32,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-33,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-34,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-35,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-36,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-37,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-38,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-39,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
iteration-40,-4.0,-3.0,-3.0,-5.0,-3.0,-5.0,-3.0,
