iteration,local_LB,local_UB,repeat_served,miss_served
1,35,660,,1;2;3;4;5;6;7;8;9;10;11;12;13;
2,21,274,11;,1;2;3;4;5;
3,39,183,7;12;,1;2;8;
4,41,285,9;,5;7;10;11;12;
5,39,51,3;7;11;12;,
6,31,191,6;,3;11;12;
7,35,53,3;8;11;12;,
8,37,98,10;,11;
9,37,239,11;13;,3;7;10;12;
10,31,46,,
11,31,46,,
12,31,46,,
13,31,46,,
14,31,46,,
15,31,46,,
16,31,46,,
17,31,46,,
18,31,46,,
19,31,46,,
20,31,46,,
21,31,46,,
22,31,363,1;4;5;7;10;12;,3;6;8;9;11;13;
23,44.0,135,,2;4;
24,46.0,243,2;,3;6;8;13;
25,44.0,55,3;8;10;,
26,44.5,142,13;,8;10;
27,39.0,46,,
28,39.0,200,6;7;8;10;,3;5;13;
29,45.0,53,3;4;9;,
30,42.0,334,5;,2;3;4;9;12;13;
31,42.0,55,2;3;12;,
32,42.5,98,4;,12;
33,42.5,137,,3;5;
34,39.0,50,5;,
35,36.5,46,,
36,36.5,284,3;12;,2;4;5;7;10;
37,44.5,94,9;10;,5;
38,43.5,241,5;,4;6;9;10;
39,44.0,55,1;4;6;,
40,42.0,139,,1;6;
计算总用时7.559761047363281秒
