Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,TASK-8,TASK-9,TASK-10,TASK-11,TASK-12,
iteration-1,0,0,0,0,0,0,0,0,0,0,0,0,0,
iteration-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,
iteration-3,-4,-4,-4,-4,-4,-2,-2,-2,-2,-2,0,-2,-2,
iteration-4,-6,-6,-4,-4,-4,-2,0,-4,-2,-2,0,0,-2,
iteration-5,-6,-6,-4,-4,-6,-2,-2,-4,0,-4,-2,-2,-2,
iteration-6,-6,-6,-2,-4,-6,-2,0,-4,0,-4,0,0,-2,
iteration-7,-6,-6,-4,-4,-6,0,0,-4,0,-4,-2,-2,-2,
iteration-8,-6,-6,-2,-4,-6,0,0,-2,0,-4,0,0,-2,
iteration-9,-6,-6,-2,-4,-6,0,0,-2,0,-2,-2,0,-2,
iteration-10,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-11,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-12,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-13,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-14,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-15,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-16,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-17,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-18,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-19,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-20,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-21,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-22,-6,-6,-4,-4,-6,0,-2,-2,0,-4,0,-2,0,
iteration-23,-5.5,-6.0,-4.5,-3.5,-5.0,-0.5,-1.0,-2.5,-0.5,-3.5,-0.5,-0.5,-0.5,
iteration-24,-5.5,-7.0,-4.5,-4.5,-5.0,-0.5,-1.0,-2.5,-0.5,-3.5,-0.5,-0.5,-0.5,
iteration-25,-5.5,-6.0,-5.5,-4.5,-5.0,-1.5,-1.0,-3.5,-0.5,-3.5,-0.5,-0.5,-1.5,
iteration-26,-5.5,-6.0,-4.0,-4.5,-5.0,-1.5,-1.0,-2.0,-0.5,-2.0,-0.5,-0.5,-1.5,
iteration-27,-5.5,-6.0,-4.0,-4.5,-5.0,-1.5,-1.0,-4.0,-0.5,-4.0,-0.5,-0.5,0.5,
iteration-28,-5.5,-6.0,-4.0,-4.5,-5.0,-1.5,-1.0,-4.0,-0.5,-4.0,-0.5,-0.5,0.5,
iteration-29,-5.5,-6.0,-4.5,-4.5,-5.5,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-0.5,0.0,
iteration-30,-5.5,-6.0,-3.5,-3.5,-5.5,-1.0,-0.5,-3.0,0.5,-3.0,-0.5,-0.5,0.0,
iteration-31,-5.5,-7.0,-4.5,-4.5,-4.5,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-1.5,-1.0,
iteration-32,-5.5,-5.5,-3.0,-4.5,-4.5,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,0.0,-1.0,
iteration-33,-5.5,-5.5,-3.0,-3.0,-4.5,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-1.5,-1.0,
iteration-34,-5.5,-5.5,-5.0,-3.0,-6.5,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-1.5,-1.0,
iteration-35,-5.5,-5.5,-5.0,-3.0,-4.0,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-1.5,-1.0,
iteration-36,-5.5,-5.5,-5.0,-3.0,-4.0,-1.0,-0.5,-3.0,-0.5,-3.0,-0.5,-1.5,-1.0,
iteration-37,-5.5,-6.0,-4.0,-3.5,-4.5,-1.0,-1.0,-3.0,-0.5,-3.5,-0.5,-0.5,-1.0,
iteration-38,-5.5,-6.0,-4.0,-3.5,-5.5,-1.0,-1.0,-3.0,0.5,-2.5,-0.5,-0.5,-1.0,
iteration-39,-5.5,-6.0,-4.0,-4.5,-4.5,-2.0,-1.0,-3.0,-0.5,-3.5,-0.5,-0.5,-1.0,
iteration-40,-4.0,-6.0,-4.0,-3.0,-4.5,-0.5,-1.0,-3.0,-0.5,-3.5,-0.5,-0.5,-1.0,
